"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\airbnb_mapRequest.py", "Python", 479, 39, 78, 596
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\calendarParse.py", "Python", 131, 12, 39, 182
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\calendarParse_multithreading.py", "Python", 153, 13, 32, 198
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\calendar_task.py", "Python", 22, 2, 58, 82
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\dbSettings.py", "Python", 47, 0, 10, 57
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\items.py", "Python", 12, 6, 6, 24
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\mapParse.py", "Python", 122, 21, 26, 169
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\middlewares.py", "Python", 133, 49, 41, 223
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\moveOrder.py", "Python", 42, 3, 15, 60
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\movePrice.py", "Python", 44, 6, 15, 65
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\pipelines.py", "Python", 92, 13, 24, 129
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\proxyMaintain.py", "Python", 96, 4, 19, 119
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\settings.py", "Python", 37, 64, 25, 126
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\__init__.py", "Python", 0, 4, 1, 5
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\calendar.py", "Python", 75, 2, 15, 92
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\map.py", "Python", 137, 14, 46, 197
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\proxyPool_temp.py", "Python", 68, 3, 13, 84
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\watcher.py", "Python", 41, 1, 15, 57
"Total", "-", 1731, 256, 479, 2466
