listingid,Lat,Lng,title,formatted_address,url
1807848,31.2143700000,121.4410100000,Big 2 BR in Quiet French Concession,上海市徐汇区湖南路街道徐汇一品苑,https://www.airbnb.cn/rooms/1807848
32008109,31.2172500000,121.4566800000,月租半价/淮海中路IPAM/海派摩登“花园洋房”&民国风&陕西南路站/一居室2人,上海市徐汇区湖南路街道陕西南路186弄小区,https://www.airbnb.cn/rooms/32008109
31999886,31.2071900000,121.4392300000,None,上海市徐汇区湖南路街道上海时代文化发展协会上海市徐汇区世界小学,https://www.airbnb.cn/rooms/31999886
31998674,31.2059800000,121.4575800000,市中心徐汇衡复文化中心2房2卫唯美文艺风靓屋,上海市徐汇区天平路街道达汇花园福禄村,https://www.airbnb.cn/rooms/31998674
34009240,31.1785600000,121.4520900000,方隅徐汇滨江2577创意大院11.12号线地铁10分钟,上海市徐汇区龙华街道龙华路盛大花园,https://www.airbnb.cn/rooms/34009240
34008097,31.1790800000,121.4509900000,方隅徐汇滨江2577创意法院 11.12号地铁10分钟,上海市徐汇区龙华街道龙华新村东区,https://www.airbnb.cn/rooms/34008097
34008057,31.1787200000,121.4525200000,方隅徐汇滨江 2577创意大院 11.12号地铁10分钟,上海市徐汇区龙华街道盛大花园,https://www.airbnb.cn/rooms/34008057
33941553,31.2108300000,121.4449200000,Wulumuqui Sugar Cube,上海市徐汇区湖南路街道玫瑰别墅,https://www.airbnb.cn/rooms/33941553
35449115,31.2063400000,121.4439000000,淮海路、环贸、巴黎春天、新天地瑞金医院，陕西南路地铁1/10/12号线步行10分钟,上海市徐汇区天平路街道高安路高安路6弄1号花园住宅,https://www.airbnb.cn/rooms/35449115
35449115,31.2063400000,121.4439000000,淮海路、环贸、巴黎春天、新天地瑞金医院，陕西南路地铁1/10/12号线步行10分钟,上海市徐汇区天平路街道高安路高安路6弄1号花园住宅,https://www.airbnb.cn/rooms/35449115
35371525,31.2135400000,121.4515900000,长租特惠低到想哭 地铁零距离 淮海中路名人别墅小区 近上海音乐学院/歌剧院/环贸 /静安寺/新天地,上海市徐汇区湖南路街道淮海中路1285路上海交响乐团(复兴中路),https://www.airbnb.cn/rooms/35371525
35409723,31.1962800000,121.4411300000,徐汇4号市中心花园美景高层公寓三室160平,上海市徐汇区徐家汇街道肇嘉浜路上海六百,https://www.airbnb.cn/rooms/35409723
36966946,31.2153000000,121.4617700000,『世外』网红陕西南路复兴中路/淮海中路iapm环贸/音乐学院瑞金医院/地铁口带投影仪的复式Loft,上海市徐汇区湖南路街道永福物业第二小区新安坊,https://www.airbnb.cn/rooms/36966946
36901596,31.2114400000,121.4432700000,【人间指南】隐世花园 宜打卡适拍照 法式田园甜居 临网红街武康路 #今夜我不关心人类，我只想你,上海市徐汇区湖南路街道安福路247号上海市徐汇区爱菊小学,https://www.airbnb.cn/rooms/36901596
38272901,31.1846000000,121.4456500000,学生实习/复旦肿瘤医院/龙华医院/中山医院/精卫/音乐学院/可做饭/独立卫生间,上海市徐汇区枫林路街道龙山新村(天钥桥路)天钥新村,https://www.airbnb.cn/rooms/38272901
38269337,31.2122600000,121.4624300000,【客易家】老上海风情Loft   上海文化中心+酒吧一条街+地铁站步行可达,上海市徐汇区天平路街道园烧肉酒场上海理工大学复兴路校区,https://www.airbnb.cn/rooms/38269337
39324780,31.2057800000,121.4398600000,[6-12月长租/武康民宿wkb&b]centre2roomapt交通大学，武康大楼旁，M10&11,上海市徐汇区湖南路街道上海汽车工业(集团)总公司(武康路)白俄罗斯公寓,https://www.airbnb.cn/rooms/39324780
39468854,31.2115900000,121.4513900000,【Niche神龛】法式高级贵族洋房 摩洛哥异域风情 克莱门公寓/Morocco Style/投影仪,上海市徐汇区天平路街道复兴中路1329号黑石公寓,https://www.airbnb.cn/rooms/39468854
40101206,31.1879900000,121.4470900000,已消毒 安心入住 两房可住4人 |徐汇区/近腾飞广场 肿瘤医院 中山医院 龙华医院 上海体育场,上海市徐汇区徐家汇街道双峰北路零陵小区(零陵路),https://www.airbnb.cn/rooms/40101206
40243005,31.1767500000,121.4440200000,徐家汇精品公寓，近地铁，配套齐全拎包入住，品质之选,上海市徐汇区漕河泾街道太阳船幼儿园华富小区北区,https://www.airbnb.cn/rooms/40243005
