listingid,fetch_date,order_date,price,rented
1807848,2021-03-06,2021-05-06,248,True
32008109,,2021-05-06,629,False
31999886,2021-03-05,2021-05-06,580,True
31998674,2021-03-05,2021-05-06,588,True
34009240,2021-03-27,2021-05-06,216,True
34008097,2021-03-27,2021-05-06,216,True
34008057,2021-03-27,2021-05-06,216,True
33941553,2021-03-05,2021-05-06,301,True
35449115,2021-03-27,2021-05-06,750,True
35449115,2021-03-27,2021-05-06,750,True
35371525,2021-03-05,2021-05-06,358,True
35409723,2021-03-05,2021-05-06,1190,True
36907510,2021-04-22,2021-05-06,299,True
36966946,,2021-05-06,299,False
36901596,2021-05-04,2021-05-06,499,True
36901417,2021-03-24,2021-05-06,98,True
38272901,2021-04-30,2021-05-06,208,True
38269337,2021-05-05,2021-05-06,517,True
39324780,2021-03-05,2021-05-06,618,True
39409656,,2021-05-06,168,False
39468854,2021-05-04,2021-05-06,398,True
40101206,,2021-05-06,328,False
40243005,2021-05-06,2021-05-06,393,True
40316037,2021-03-05,2021-05-06,459,True
11567267,2021-03-27,2021-05-06,320,True
11504576,2021-03-06,2021-05-06,268,True
12866327,,2021-05-06,569,False
12573681,2021-04-26,2021-05-06,588,True
12614089,2021-03-27,2021-05-06,398,True
19267536,2021-04-29,2021-05-06,613,True
20095956,2021-03-27,2021-05-06,298,True
20098119,2021-03-06,2021-05-06,490,True
24504325,2021-03-27,2021-05-06,368,True
27969693,2021-03-05,2021-05-06,390,True
27968612,2021-04-17,2021-05-06,388,True
27966324,2021-03-27,2021-05-06,429,True
27913956,2021-03-27,2021-05-06,288,True
31506447,2021-04-08,2021-05-06,216,True
33653011,2021-04-20,2021-05-06,379,True
35887794,2021-05-06,2021-05-06,546,True
36430079,2021-03-27,2021-05-06,204,True
36425755,2021-03-05,2021-05-06,200,True
36425883,2021-03-27,2021-05-06,262,True
37579809,2021-03-05,2021-05-06,337,True
37571916,,2021-05-06,469,False
37835732,2021-05-05,2021-05-06,368,True
38890099,2021-05-01,2021-05-06,487,True
40574116,2021-04-29,2021-05-06,127,True
40582686,,2021-05-06,500,False
40572971,2021-05-01,2021-05-06,688,True
40595510,2021-03-05,2021-05-06,980,True
40568529,,2021-05-06,135,False
41879181,2021-03-16,2021-05-06,499,True
43547031,,2021-05-06,559,False
